tenure,InternetService,OnlineSecurity,TechSupport,Contract,MonthlyCharges,Churn
72,No,No internet service,No internet service,Two year,24.65,No
30,Fiber optic,Yes,No,One year,90.4,No
49,Fiber optic,Yes,No,Month-to-month,100.85,No
61,DSL,Yes,Yes,Two year,75.35,No
47,Fiber optic,No,No,Month-to-month,87.2,No
20,DSL,Yes,No,Month-to-month,64.4,No
34,Fiber optic,No,No,Month-to-month,78.3,Yes
70,No,No internet service,No internet service,Two year,24.7,No
54,Fiber optic,Yes,Yes,One year,105.85,No
61,Fiber optic,No,Yes,One year,98.3,No
3,Fiber optic,No,No,Month-to-month,76.95,Yes
13,No,No internet service,No internet service,One year,19.45,No
16,Fiber optic,No,No,Month-to-month,96.15,Yes
3,DSL,No,No,Month-to-month,58.7,No
25,No,No internet service,No internet service,Month-to-month,20.15,No
30,DSL,Yes,No,Month-to-month,64.5,No
21,DSL,Yes,No,Month-to-month,28.5,No
1,DSL,No,No,Month-to-month,45.3,Yes
15,No,No internet service,No internet service,Month-to-month,19.4,Yes
23,Fiber optic,No,No,Month-to-month,90.45,No
45,Fiber optic,Yes,No,Month-to-month,105.15,No
24,Fiber optic,No,No,One year,83.15,No
11,Fiber optic,No,Yes,Month-to-month,90.15,Yes
1,DSL,No,No,Month-to-month,45.05,Yes
56,Fiber optic,No,Yes,Two year,103.2,No
1,Fiber optic,No,No,Month-to-month,75.8,Yes
1,No,No internet service,No internet service,Month-to-month,19.45,No
7,Fiber optic,No,No,Month-to-month,79.3,Yes
55,Fiber optic,No,Yes,Two year,88.8,No
2,DSL,No,Yes,Month-to-month,30.9,Yes
72,DSL,Yes,Yes,Two year,85.9,No
45,DSL,No,No,One year,34.2,No
47,No,No internet service,No internet service,Two year,20.15,No
46,Fiber optic,No,No,One year,95.25,Yes
2,DSL,No,No,Month-to-month,50.3,No
2,Fiber optic,Yes,Yes,Month-to-month,80.15,No
12,DSL,No,No,Month-to-month,51.25,No
68,Fiber optic,No,No,Month-to-month,89.6,Yes
69,Fiber optic,No,Yes,Two year,95.2,No
56,Fiber optic,Yes,No,One year,94.8,No
4,Fiber optic,Yes,No,Month-to-month,80.25,No
64,DSL,No,Yes,Two year,76.1,No
59,Fiber optic,Yes,No,One year,110.15,Yes
62,Fiber optic,Yes,Yes,Two year,115.55,No
63,No,No internet service,No internet service,Two year,24.65,No
53,DSL,Yes,Yes,One year,53.6,No
5,No,No internet service,No internet service,Month-to-month,19.45,No
49,Fiber optic,Yes,No,Month-to-month,88.2,No
62,Fiber optic,Yes,No,Two year,101.15,No
55,DSL,Yes,Yes,Two year,56.8,No
71,Fiber optic,Yes,Yes,Two year,99.4,No
72,No,No internet service,No internet service,Two year,20.1,No
36,DSL,Yes,Yes,One year,60.7,No
25,No,No internet service,No internet service,One year,20.95,No
72,Fiber optic,Yes,Yes,Two year,114.85,No
36,No,No internet service,No internet service,One year,19.25,No
1,DSL,No,No,Month-to-month,62.8,No
72,Fiber optic,Yes,No,Two year,105.5,No
59,No,No internet service,No internet service,Two year,19.85,No
7,Fiber optic,No,No,Month-to-month,89.5,Yes
1,DSL,No,Yes,One year,74.1,No
30,Fiber optic,No,Yes,Month-to-month,107.5,No
64,No,No internet service,No internet service,Two year,19.55,No
63,DSL,Yes,Yes,One year,68.8,No
72,DSL,Yes,No,Two year,84.45,No
8,Fiber optic,Yes,No,Month-to-month,75,Yes
62,DSL,No,Yes,Two year,84.5,No
67,Fiber optic,No,Yes,Two year,111.2,No
6,DSL,No,No,Month-to-month,44.75,Yes
70,DSL,Yes,Yes,Two year,80.6,No
20,Fiber optic,No,No,Month-to-month,80.7,No
5,Fiber optic,No,No,Month-to-month,75.6,No
24,DSL,Yes,No,One year,57.6,No
11,DSL,No,No,Month-to-month,44.05,Yes
72,Fiber optic,No,Yes,Two year,110.6,No
66,DSL,Yes,Yes,Two year,58.2,No
45,DSL,Yes,Yes,Two year,81,No
69,No,No internet service,No internet service,Two year,19.7,No
15,Fiber optic,No,No,Month-to-month,85.6,Yes
28,DSL,No,No,Month-to-month,59.55,No
70,Fiber optic,Yes,Yes,One year,115.55,Yes
36,DSL,Yes,Yes,One year,75.55,No
16,Fiber optic,No,No,Month-to-month,86.6,Yes
18,Fiber optic,No,No,Month-to-month,85.2,Yes
34,Fiber optic,No,No,Month-to-month,97.65,Yes
42,DSL,No,No,One year,45.1,No
48,DSL,Yes,Yes,One year,70.95,No
47,Fiber optic,No,Yes,Month-to-month,109.55,Yes
39,Fiber optic,No,Yes,One year,89.55,Yes
11,No,No internet service,No internet service,Two year,20.9,No
7,No,No internet service,No internet service,Month-to-month,19.95,No
3,No,No internet service,No internet service,Month-to-month,24.6,No
8,DSL,Yes,No,Month-to-month,66.7,No
1,No,No internet service,No internet service,Month-to-month,19.45,Yes
32,Fiber optic,Yes,No,One year,94.8,No
60,DSL,Yes,Yes,One year,65.85,No
10,No,No internet service,No internet service,Month-to-month,19.95,No
71,No,No internet service,No internet service,Two year,24.65,No
4,No,No internet service,No internet service,Month-to-month,20.35,Yes
1,Fiber optic,No,No,Month-to-month,69.25,Yes
43,DSL,Yes,Yes,One year,51.25,No
59,Fiber optic,No,No,One year,99.5,Yes
23,DSL,No,Yes,Month-to-month,54.25,No
72,No,No internet service,No internet service,Two year,19.4,No
22,DSL,Yes,Yes,One year,56.25,No
1,DSL,No,No,Month-to-month,25.15,No
69,No,No internet service,No internet service,Two year,23.95,No
50,DSL,Yes,Yes,One year,35.4,No
1,DSL,No,No,Month-to-month,25.2,Yes
2,DSL,No,No,Month-to-month,45,Yes
15,Fiber optic,No,No,Month-to-month,75.35,No
31,No,No internet service,No internet service,Two year,20.4,No
1,No,No internet service,No internet service,Month-to-month,20.15,Yes
66,Fiber optic,No,No,Month-to-month,105,Yes
0,DSL,Yes,Yes,Two year,56.05,No
3,DSL,No,No,Month-to-month,54.7,Yes
8,No,No internet service,No internet service,Two year,20,No
64,DSL,Yes,No,One year,73.05,No
28,No,No internet service,No internet service,Month-to-month,20.5,No
57,Fiber optic,No,No,One year,100.75,No
14,Fiber optic,No,No,Month-to-month,87.25,Yes
19,No,No internet service,No internet service,Two year,19.95,No
10,Fiber optic,No,No,Month-to-month,79.95,Yes
51,DSL,No,No,Month-to-month,49.65,No
67,DSL,Yes,No,Two year,65.65,No
11,No,No internet service,No internet service,Month-to-month,20.45,No
72,DSL,Yes,Yes,Two year,60.95,No
66,No,No internet service,No internet service,One year,20.35,No
18,Fiber optic,No,Yes,Month-to-month,88.35,Yes
9,No,No internet service,No internet service,Month-to-month,19.5,No
9,Fiber optic,No,No,Month-to-month,75.2,No
48,Fiber optic,Yes,No,Month-to-month,111.45,No
10,Fiber optic,No,No,Month-to-month,70.15,No
9,Fiber optic,No,No,Month-to-month,94.75,Yes
13,Fiber optic,No,No,Month-to-month,95.05,Yes
4,Fiber optic,No,No,Month-to-month,78.45,Yes
4,Fiber optic,No,No,Month-to-month,70.2,Yes
72,DSL,Yes,Yes,Two year,92,No
51,DSL,Yes,Yes,Two year,85.5,No
59,DSL,No,No,Month-to-month,41.05,Yes
10,Fiber optic,No,No,Month-to-month,85.6,Yes
61,Fiber optic,No,No,Month-to-month,82.15,No
54,Fiber optic,Yes,Yes,One year,84.4,No
33,DSL,Yes,No,Month-to-month,60.9,No
27,No,No internet service,No internet service,Two year,20.25,No
1,Fiber optic,No,No,Month-to-month,79.2,Yes
23,Fiber optic,No,No,Month-to-month,95.3,No
1,No,No internet service,No internet service,Month-to-month,19.85,No
45,DSL,Yes,Yes,Two year,84.35,No
39,No,No internet service,No internet service,Two year,19.85,No
5,DSL,No,No,One year,70,Yes
72,DSL,Yes,Yes,Two year,82.3,No
58,DSL,No,No,Month-to-month,66.8,No
70,DSL,Yes,Yes,Two year,44.6,No
61,Fiber optic,No,Yes,One year,98.45,No
2,Fiber optic,No,No,Month-to-month,70.7,No
46,No,No internet service,No internet service,One year,24.95,No
1,DSL,No,No,Month-to-month,49.95,Yes
22,Fiber optic,No,No,Month-to-month,69.25,Yes
48,Fiber optic,Yes,Yes,Two year,102.5,No
64,DSL,No,Yes,Two year,86.55,No
72,No,No internet service,No internet service,Two year,24.3,No
12,DSL,No,No,Month-to-month,58.35,No
34,Fiber optic,No,No,Month-to-month,94.25,Yes
72,DSL,Yes,No,Two year,68.75,No
29,Fiber optic,No,No,Month-to-month,85.8,No
33,No,No internet service,No internet service,One year,20.1,No
1,No,No internet service,No internet service,Month-to-month,20.35,No
62,Fiber optic,No,Yes,One year,110.8,No
41,DSL,No,No,One year,73,Yes
64,Fiber optic,No,No,One year,100.05,Yes
4,Fiber optic,No,No,Month-to-month,82.85,No
24,Fiber optic,Yes,Yes,Month-to-month,84.35,No
14,No,No internet service,No internet service,One year,19.55,No
3,No,No internet service,No internet service,Month-to-month,19.95,No
4,Fiber optic,No,No,Month-to-month,99.8,Yes
18,DSL,No,No,Month-to-month,35,Yes
8,DSL,No,No,Month-to-month,66.25,No
35,No,No internet service,No internet service,Two year,23.3,No
1,Fiber optic,No,No,Month-to-month,76,Yes
66,No,No internet service,No internet service,Two year,25.3,No
8,DSL,Yes,Yes,Two year,44.55,No
71,Fiber optic,Yes,No,One year,104.1,No
43,Fiber optic,No,No,Month-to-month,92.55,No
2,Fiber optic,No,No,Month-to-month,93.85,Yes
29,Fiber optic,No,No,Month-to-month,101.45,No
15,Fiber optic,No,No,Month-to-month,84.3,Yes
65,Fiber optic,Yes,Yes,Two year,94.55,No
35,Fiber optic,No,Yes,Month-to-month,95.5,No
64,Fiber optic,Yes,No,One year,100.3,No
58,DSL,No,Yes,Two year,55.5,No
18,DSL,No,No,Month-to-month,49.85,No
67,Fiber optic,No,No,Month-to-month,89.55,No
63,No,No internet service,No internet service,Two year,19.15,No
60,Fiber optic,No,No,Month-to-month,99.8,No
9,Fiber optic,No,No,Month-to-month,84.4,Yes
70,Fiber optic,Yes,Yes,Two year,113.05,No
15,Fiber optic,No,No,Month-to-month,101.1,Yes
48,No,No internet service,No internet service,One year,19.95,No
12,DSL,No,Yes,Month-to-month,74.15,No
71,Fiber optic,Yes,Yes,One year,92,No
44,Fiber optic,No,No,Month-to-month,73.85,No
1,DSL,No,No,Month-to-month,50.45,Yes
45,No,No internet service,No internet service,Two year,24.45,No
23,No,No internet service,No internet service,One year,24.8,No
43,DSL,No,Yes,One year,64.85,No
35,No,No internet service,No internet service,Month-to-month,20.75,No
9,DSL,Yes,Yes,Month-to-month,68.95,No
12,Fiber optic,No,Yes,Month-to-month,99.95,Yes
65,Fiber optic,Yes,No,Month-to-month,109.4,No
2,Fiber optic,No,No,Month-to-month,91.4,Yes
27,DSL,No,No,Month-to-month,49,No
40,DSL,No,No,One year,50.25,No
5,Fiber optic,No,No,Month-to-month,75.55,Yes
8,No,No internet service,No internet service,One year,19.9,No
58,Fiber optic,No,No,One year,97.8,No
52,Fiber optic,Yes,No,One year,100.3,No
3,DSL,No,Yes,Month-to-month,55.8,No
41,Fiber optic,Yes,Yes,Two year,111.15,No
20,Fiber optic,No,Yes,Month-to-month,98.55,No
1,DSL,No,No,Month-to-month,50.05,No
4,Fiber optic,No,Yes,Month-to-month,80.8,Yes
23,No,No internet service,No internet service,Month-to-month,20.85,No
6,No,No internet service,No internet service,Month-to-month,19.5,No
8,No,No internet service,No internet service,Month-to-month,19.35,No
18,DSL,Yes,No,Month-to-month,69.5,No
52,DSL,Yes,No,Month-to-month,48.8,No
31,Fiber optic,No,No,Month-to-month,94.5,No
29,No,No internet service,No internet service,Month-to-month,20.65,No
36,Fiber optic,Yes,Yes,Two year,106.05,No
16,Fiber optic,No,No,Month-to-month,100,Yes
42,Fiber optic,No,Yes,One year,108.3,No
1,No,No internet service,No internet service,Month-to-month,20.55,Yes
60,Fiber optic,No,No,Two year,99.65,No
5,Fiber optic,No,No,Month-to-month,85.3,Yes
22,Fiber optic,Yes,Yes,Month-to-month,95.9,No
36,No,No internet service,No internet service,One year,20,No
4,Fiber optic,No,No,Month-to-month,70.4,Yes
9,DSL,Yes,Yes,Month-to-month,64.95,No
1,Fiber optic,No,No,Month-to-month,74.6,No
12,DSL,Yes,No,Month-to-month,49.2,No
23,DSL,No,Yes,One year,73.75,No
62,Fiber optic,Yes,No,One year,92.3,No
37,Fiber optic,No,Yes,Month-to-month,98.8,Yes
8,No,No internet service,No internet service,Month-to-month,19.2,No
31,Fiber optic,No,No,Month-to-month,88.65,No
13,Fiber optic,No,No,Month-to-month,74.4,Yes
24,Fiber optic,No,No,Month-to-month,98.75,Yes
45,Fiber optic,No,No,Month-to-month,95.95,No
69,Fiber optic,No,Yes,Two year,105.4,No
2,No,No internet service,No internet service,Month-to-month,20.25,No
61,Fiber optic,Yes,No,One year,106,Yes
41,Fiber optic,No,No,Month-to-month,104.7,Yes
44,DSL,No,No,One year,49.05,No
39,DSL,No,Yes,One year,35.55,No
72,DSL,Yes,Yes,Two year,65.1,No
13,Fiber optic,No,No,Month-to-month,96.85,No
51,DSL,Yes,Yes,One year,69.75,No
71,Fiber optic,No,No,Two year,99.2,No
22,Fiber optic,No,No,Month-to-month,96.7,Yes
2,DSL,No,Yes,Month-to-month,55.05,Yes
56,Fiber optic,No,No,One year,106.8,No
1,DSL,Yes,No,Month-to-month,51.25,No
23,DSL,Yes,Yes,One year,57.75,No
66,DSL,No,No,One year,70.85,No
1,No,No internet service,No internet service,Month-to-month,19.55,No
19,Fiber optic,No,No,Month-to-month,88.2,Yes
11,Fiber optic,Yes,No,Month-to-month,79.5,No
8,No,No internet service,No internet service,One year,19.75,Yes
52,Fiber optic,Yes,No,Month-to-month,98.15,No
3,No,No internet service,No internet service,Month-to-month,20.25,No
51,Fiber optic,Yes,No,Month-to-month,79.15,No
15,Fiber optic,No,No,Month-to-month,75.65,Yes
64,Fiber optic,No,No,Month-to-month,94.25,No
37,DSL,No,No,Month-to-month,40.2,No
13,No,No internet service,No internet service,Two year,19.95,No
49,DSL,Yes,No,One year,55.35,No
45,Fiber optic,No,No,One year,102.15,No
18,Fiber optic,No,No,Month-to-month,71.1,No
1,Fiber optic,No,No,Month-to-month,74.7,Yes
68,DSL,Yes,No,Two year,54.1,No
54,No,No internet service,No internet service,Two year,19.65,No
23,Fiber optic,No,No,Month-to-month,88.45,No
17,Fiber optic,No,No,Month-to-month,76.65,Yes
71,DSL,Yes,Yes,Two year,80.4,No
67,No,No internet service,No internet service,Two year,19.25,No
14,Fiber optic,No,No,Month-to-month,84.8,No
1,DSL,No,No,Month-to-month,25.8,Yes
63,No,No internet service,No internet service,Two year,19.5,No
41,DSL,No,Yes,One year,68.6,No
17,Fiber optic,No,No,Month-to-month,92.6,No
56,Fiber optic,Yes,No,One year,100.55,No
5,No,No internet service,No internet service,Month-to-month,20.55,No
2,DSL,Yes,No,Month-to-month,42.6,Yes
3,No,No internet service,No internet service,Month-to-month,19.6,No
37,DSL,Yes,Yes,One year,67.45,No
29,DSL,Yes,No,Month-to-month,68.85,Yes
8,DSL,No,No,Month-to-month,43.55,No
63,Fiber optic,No,Yes,Month-to-month,109.85,No
7,No,No internet service,No internet service,Month-to-month,20.65,No
3,Fiber optic,No,No,Month-to-month,95.4,No
72,No,No internet service,No internet service,Two year,21,No
19,DSL,No,No,Month-to-month,56.2,No
59,No,No internet service,No internet service,Two year,18.4,No
2,Fiber optic,No,Yes,Month-to-month,90,Yes
35,No,No internet service,No internet service,Month-to-month,25.75,No
14,No,No internet service,No internet service,Month-to-month,19.6,No
14,Fiber optic,No,No,Month-to-month,75.35,Yes
69,No,No internet service,No internet service,Two year,19.8,No
7,DSL,Yes,Yes,Month-to-month,64.2,No
69,DSL,Yes,Yes,Two year,75.75,No
72,DSL,No,Yes,Two year,78.95,No
8,Fiber optic,No,No,Month-to-month,100.85,Yes
4,DSL,Yes,No,Month-to-month,50.3,No
63,Fiber optic,No,No,Month-to-month,80.3,No
72,No,No internet service,No internet service,Two year,19.85,No
46,No,No internet service,No internet service,Two year,21.1,No
5,Fiber optic,No,No,Month-to-month,69.95,Yes
30,DSL,No,No,Month-to-month,50,No
63,Fiber optic,No,No,Two year,104.75,No
60,No,No internet service,No internet service,Two year,19.85,No
63,Fiber optic,No,No,One year,107.5,Yes
25,Fiber optic,No,Yes,Month-to-month,85.9,No
1,DSL,No,No,Month-to-month,45.85,Yes
6,Fiber optic,No,No,Month-to-month,80.8,No
22,No,No internet service,No internet service,Two year,25.25,No
31,DSL,No,Yes,Two year,80.55,No
39,Fiber optic,No,Yes,Month-to-month,81.5,No
26,No,No internet service,No internet service,Month-to-month,20.9,No
53,Fiber optic,Yes,No,One year,106.1,Yes
1,Fiber optic,No,Yes,Month-to-month,91.7,Yes
12,DSL,Yes,Yes,Month-to-month,67.25,No
16,Fiber optic,No,No,Month-to-month,95.6,Yes
2,No,No internet service,No internet service,Month-to-month,20.35,No
39,DSL,Yes,Yes,One year,45.05,No
1,Fiber optic,No,No,Month-to-month,74.95,Yes
7,DSL,Yes,Yes,Month-to-month,34.65,No
4,Fiber optic,No,No,Month-to-month,69.35,No
10,Fiber optic,No,No,Month-to-month,95.35,Yes
55,Fiber optic,No,No,Month-to-month,81.55,No
72,DSL,No,No,Two year,75.4,No
10,DSL,No,No,Month-to-month,67.8,No
11,Fiber optic,No,Yes,Month-to-month,111.4,No
15,DSL,No,No,Month-to-month,46.3,No
23,No,No internet service,No internet service,Two year,20.4,No
1,No,No internet service,No internet service,Month-to-month,20.05,No
3,DSL,No,No,Month-to-month,45,Yes
47,Fiber optic,Yes,No,One year,96.1,No
15,No,No internet service,No internet service,One year,19.65,No
66,Fiber optic,No,No,Month-to-month,99.5,Yes
68,DSL,No,Yes,One year,60.65,No
17,Fiber optic,No,Yes,One year,98.6,Yes
7,DSL,No,Yes,Month-to-month,59.5,Yes
12,Fiber optic,No,No,Month-to-month,80.45,Yes
21,DSL,No,No,One year,71.7,No
21,DSL,No,Yes,Month-to-month,36,No
56,DSL,Yes,No,One year,65.2,No
6,DSL,No,No,Month-to-month,48.95,No
65,DSL,No,No,Two year,53.5,No
42,DSL,Yes,Yes,One year,80.45,No
68,Fiber optic,Yes,Yes,Two year,109.05,No
48,No,No internet service,No internet service,Two year,26.3,No
50,Fiber optic,No,Yes,One year,106.8,No
7,DSL,No,No,Month-to-month,64.95,No
63,No,No internet service,No internet service,Two year,19.35,No
17,No,No internet service,No internet service,Month-to-month,21.1,No
42,Fiber optic,No,No,Month-to-month,77.95,Yes
4,No,No internet service,No internet service,Month-to-month,18.85,No
62,No,No internet service,No internet service,Two year,26,No
2,Fiber optic,No,No,Month-to-month,74.7,Yes
2,Fiber optic,No,No,Month-to-month,70.35,No
48,Fiber optic,Yes,No,Two year,96.9,No
27,No,No internet service,No internet service,Two year,19.55,No
70,DSL,No,Yes,Two year,80.4,No
1,Fiber optic,No,No,Month-to-month,88.8,Yes
46,Fiber optic,No,No,One year,94.65,No
30,Fiber optic,No,No,Month-to-month,90.25,Yes
15,DSL,Yes,No,Month-to-month,64.65,Yes
69,Fiber optic,No,No,One year,95.75,No
65,No,No internet service,No internet service,Two year,19.55,No
72,Fiber optic,Yes,Yes,Two year,104.1,No
13,Fiber optic,No,Yes,Month-to-month,89.05,Yes
17,No,No internet service,No internet service,One year,20.1,No
51,Fiber optic,Yes,Yes,One year,111.55,No
51,DSL,Yes,Yes,Two year,60.5,No
72,DSL,Yes,Yes,Two year,90.95,No
67,Fiber optic,No,No,One year,87.4,Yes
34,No,No internet service,No internet service,Month-to-month,19.7,No
67,DSL,Yes,Yes,Two year,50.95,No
49,No,No internet service,No internet service,One year,20.05,No
53,No,No internet service,No internet service,Two year,19.4,No
27,DSL,No,Yes,Month-to-month,59.45,No
23,Fiber optic,No,No,Month-to-month,94.75,Yes
69,DSL,Yes,Yes,Two year,81.5,No
2,DSL,No,Yes,Month-to-month,29.05,No
35,Fiber optic,No,No,Month-to-month,86.45,Yes
46,DSL,Yes,Yes,One year,70.6,No
54,Fiber optic,No,No,Two year,97.2,No
56,Fiber optic,No,No,One year,98.25,Yes
9,Fiber optic,No,No,Month-to-month,75.75,Yes
20,DSL,Yes,Yes,Month-to-month,59.2,No
11,Fiber optic,No,No,Month-to-month,75.9,No
30,Fiber optic,No,No,Month-to-month,90.05,No
68,DSL,Yes,No,Two year,70.95,No
38,Fiber optic,No,No,Month-to-month,102.6,No
17,Fiber optic,Yes,No,Month-to-month,85.35,Yes
48,Fiber optic,No,No,One year,106.1,Yes
1,DSL,No,No,Month-to-month,43.8,No
63,DSL,Yes,No,Two year,59,No
3,DSL,No,No,One year,69.95,No
48,No,No internet service,No internet service,One year,24.35,No
66,DSL,No,Yes,One year,29.45,No
68,Fiber optic,No,No,Two year,84.4,No
17,DSL,No,No,Month-to-month,45.05,Yes
7,No,No internet service,No internet service,One year,20.65,No
72,DSL,Yes,Yes,Two year,87.1,No
29,No,No internet service,No internet service,Month-to-month,19.85,No
37,Fiber optic,No,Yes,Month-to-month,90.35,No
34,Fiber optic,Yes,No,Month-to-month,109.8,Yes
42,Fiber optic,No,No,Month-to-month,84.65,Yes
59,DSL,Yes,Yes,One year,65.5,No
11,Fiber optic,No,No,Month-to-month,79.5,Yes
60,Fiber optic,Yes,No,Month-to-month,80.95,No
27,DSL,No,Yes,Month-to-month,56.15,No
1,Fiber optic,No,No,Month-to-month,85.8,Yes
1,Fiber optic,No,No,Month-to-month,79.1,Yes
17,DSL,Yes,No,Month-to-month,34.4,No
58,No,No internet service,No internet service,Two year,20.75,No
1,No,No internet service,No internet service,One year,18.8,No
3,DSL,No,No,Month-to-month,44.3,Yes
53,Fiber optic,Yes,No,Month-to-month,90.8,No
35,No,No internet service,No internet service,Month-to-month,25.6,No
50,Fiber optic,Yes,No,Month-to-month,105.95,Yes
68,DSL,No,Yes,Two year,70.8,No
47,No,No internet service,No internet service,Month-to-month,25.4,No
65,Fiber optic,No,No,Month-to-month,108.8,No
5,Fiber optic,No,No,Month-to-month,69.75,Yes
51,Fiber optic,No,No,Month-to-month,94.65,Yes
46,Fiber optic,No,No,Month-to-month,96.05,Yes
9,Fiber optic,No,No,Month-to-month,76.85,No
8,No,No internet service,No internet service,Two year,20.25,No
14,No,No internet service,No internet service,One year,24.8,No
45,Fiber optic,Yes,Yes,Month-to-month,115.65,No
8,Fiber optic,No,No,Month-to-month,74.6,No
1,DSL,No,No,Month-to-month,50.15,Yes
66,Fiber optic,Yes,No,One year,103.15,No
72,DSL,Yes,Yes,Two year,72.1,No
41,Fiber optic,Yes,Yes,Month-to-month,113.6,Yes
23,No,No internet service,No internet service,Two year,25.1,No
29,Fiber optic,No,No,Month-to-month,78.9,Yes
4,Fiber optic,Yes,No,Month-to-month,80.15,No
6,No,No internet service,No internet service,Two year,25.4,No
67,Fiber optic,Yes,Yes,One year,105.4,No
7,DSL,No,No,Month-to-month,45.75,No
56,No,No internet service,No internet service,One year,24.45,No
72,No,No internet service,No internet service,Two year,25,No
72,DSL,Yes,No,Two year,85.25,No
23,No,No internet service,No internet service,Two year,19.6,No
35,DSL,No,No,Month-to-month,50.15,No
27,Fiber optic,No,No,Month-to-month,70.55,No
26,DSL,No,Yes,Month-to-month,60.05,Yes
12,No,No internet service,No internet service,One year,26.4,No
40,No,No internet service,No internet service,Two year,20.15,No
7,DSL,Yes,No,Month-to-month,58.85,No
70,Fiber optic,Yes,No,Month-to-month,97.55,No
60,No,No internet service,No internet service,Two year,19.65,No
39,DSL,No,No,One year,25.25,No
72,Fiber optic,Yes,Yes,Two year,114.45,No
1,DSL,No,No,Month-to-month,34.7,Yes
54,DSL,No,Yes,One year,70.7,No
3,Fiber optic,No,No,Month-to-month,85.3,Yes
63,DSL,Yes,Yes,Two year,75.55,No
71,Fiber optic,No,Yes,Two year,84.8,No
42,No,No internet service,No internet service,One year,20.65,No
47,No,No internet service,No internet service,Two year,20.45,No
66,Fiber optic,No,No,One year,102.45,Yes
21,Fiber optic,Yes,No,Month-to-month,104.4,Yes
11,DSL,No,Yes,Month-to-month,35.65,No
1,Fiber optic,No,No,Month-to-month,99.75,Yes
55,Fiber optic,No,Yes,Month-to-month,90.45,No
69,Fiber optic,No,Yes,Two year,97.65,No
3,Fiber optic,No,No,Month-to-month,73.85,No
4,DSL,No,Yes,Month-to-month,74.4,Yes
30,DSL,No,Yes,Two year,69.1,No
5,Fiber optic,No,Yes,Month-to-month,82.75,No
71,No,No internet service,No internet service,Two year,24.4,No
29,DSL,No,No,One year,55.25,No
52,DSL,No,Yes,Month-to-month,61.35,No
68,DSL,Yes,No,One year,76.75,No
46,No,No internet service,No internet service,Two year,19.4,No
8,DSL,No,No,Month-to-month,54.75,No
72,No,No internet service,No internet service,Two year,19.7,No
17,No,No internet service,No internet service,One year,19.9,No
3,Fiber optic,No,Yes,Month-to-month,107.95,No
2,Fiber optic,No,No,Month-to-month,83.8,No
9,Fiber optic,Yes,No,Month-to-month,74.25,Yes
51,DSL,No,No,One year,56.4,No
6,No,No internet service,No internet service,Two year,20.1,No
3,Fiber optic,No,No,Month-to-month,94.9,No
17,Fiber optic,No,No,Month-to-month,94.2,No
30,DSL,No,No,Month-to-month,49.9,No
31,DSL,No,Yes,Month-to-month,71.05,No
45,DSL,Yes,Yes,Two year,81.65,No
64,Fiber optic,Yes,No,One year,89.45,No
1,DSL,No,No,Month-to-month,59.85,Yes
1,Fiber optic,No,No,Month-to-month,69.6,Yes
61,Fiber optic,No,No,One year,99,No
1,No,No internet service,No internet service,Month-to-month,19.05,No
9,DSL,No,No,Month-to-month,45.4,Yes
72,Fiber optic,Yes,Yes,Two year,114.45,No
1,No,No internet service,No internet service,Month-to-month,19.5,Yes
7,DSL,No,No,Month-to-month,44.25,No
66,Fiber optic,No,Yes,One year,90.55,No
1,Fiber optic,No,No,Month-to-month,69.9,Yes
40,No,No internet service,No internet service,Month-to-month,20.4,No
16,DSL,No,No,Month-to-month,71.4,No
2,Fiber optic,No,No,Month-to-month,87.15,Yes
67,No,No internet service,No internet service,Two year,24.85,No
41,Fiber optic,Yes,No,One year,104.45,No
56,No,No internet service,No internet service,Two year,19.8,No
72,Fiber optic,Yes,Yes,Two year,116.45,No
3,Fiber optic,No,No,Month-to-month,84.75,Yes
54,No,No internet service,No internet service,Two year,20.05,No
52,Fiber optic,No,Yes,Month-to-month,110.75,No
50,Fiber optic,No,Yes,Two year,89.7,No
14,Fiber optic,No,Yes,Month-to-month,89.95,Yes
27,DSL,Yes,No,One year,48.7,No
72,Fiber optic,Yes,Yes,Two year,96.6,No
62,DSL,Yes,No,One year,74.3,No
12,DSL,No,Yes,Month-to-month,54.3,No
44,DSL,No,Yes,One year,74.85,No
54,Fiber optic,No,Yes,Two year,79.95,No
68,No,No internet service,No internet service,Two year,20.05,No
20,No,No internet service,No internet service,Month-to-month,19.4,No
50,DSL,No,No,One year,54.9,No
58,No,No internet service,No internet service,Two year,24.45,No
35,Fiber optic,No,No,Month-to-month,89.65,No
2,DSL,No,No,Month-to-month,45.4,No
63,DSL,Yes,Yes,Two year,75.7,No
58,Fiber optic,Yes,No,One year,110.65,No
27,No,No internet service,No internet service,One year,20.55,No
71,Fiber optic,Yes,Yes,Two year,115.15,No
63,DSL,No,No,One year,58.55,No
71,Fiber optic,No,No,Month-to-month,93.25,No
41,Fiber optic,Yes,No,Month-to-month,113.2,Yes
13,Fiber optic,No,No,Month-to-month,90.5,Yes
2,Fiber optic,No,No,Month-to-month,79,Yes
68,No,No internet service,No internet service,Two year,19.35,No
1,DSL,Yes,No,Month-to-month,48.75,No
65,Fiber optic,Yes,Yes,Two year,109.05,No
72,No,No internet service,No internet service,Two year,25,No
28,DSL,No,Yes,Month-to-month,54.9,No
72,No,No internet service,No internet service,Two year,24.75,No
2,Fiber optic,Yes,No,Month-to-month,91.15,No
